id,pregunta,respuesta
1,¿Cuánto tarda el envío?,"Los pedidos se entregan en 24-48 horas laborables en península. Envíos a Baleares, Canarias, Ceuta y Melilla pueden tardar 3-5 días adicionales."
2,¿Cuánto cuesta el envío?,"El envío es gratuito a partir de 30€ de compra. Por debajo de ese importe, el coste de envío estándar es de 3,95€."
3,¿Puedo hacer un cambio o devolución?,"Dispones de 30 días naturales desde la recepción del pedido para devolver un producto, siempre que esté sin abrir y en su embalaje original."
4,¿Cómo solicito un reembolso?,"El reembolso se tramita automáticamente al recibir la devolución en nuestro almacén, y se abona en el mismo método de pago usado en la compra, en un plazo de 5-7 días laborables."
5,¿Qué métodos de pago aceptáis?,"Aceptamos tarjeta de crédito/débito, PayPal, Bizum y transferencia bancaria."
6,¿Puedo pagar contra reembolso?,No ofrecemos pago contra reembolso actualmente. Todos los pedidos se abonan en el momento de la compra.
7,¿Cómo puedo contactar con atención al cliente?,"Puedes escribirnos a atencioncliente@tienda.example o llamarnos al 900 123 456, de lunes a viernes de 9:00 a 18:00."
8,¿Tenéis tienda física?,Contamos con puntos de recogida en varias ciudades. Consulta la disponibilidad en tu código postal en el apartado de envíos del checkout.
9,¿Los productos tienen garantía?,"Todos los productos cuentan con la garantía legal de 2 años frente a defectos de fabricación, conforme a la normativa vigente."
10,¿Cómo descargo la factura de mi pedido?,"Puedes descargar la factura desde la sección ""Mis pedidos"" de tu cuenta, o solicitarla por email indicando tu número de pedido."
11,¿Necesito receta médica para comprar medicamentos?,Los medicamentos sujetos a prescripción médica requieren subir una receta válida durante el proceso de compra. Los productos de venta libre no la necesitan.
12,¿Puedo devolver un medicamento ya abierto?,"Por motivos de seguridad sanitaria, los medicamentos y productos de higiene íntima no admiten devolución una vez abierto el envase."
13,¿Cuál es el horario de atención?,"Nuestro horario de atención al cliente es de lunes a viernes de 9:00 a 18:00, excepto festivos nacionales."
14,¿Hacéis envíos internacionales?,Actualmente solo realizamos envíos dentro de España y Portugal. Estamos trabajando para ampliar a más países próximamente.
15,¿Cómo sé si un producto tiene stock?,"La disponibilidad se muestra en la ficha de cada producto en tiempo real. Si aparece como agotado, puedes activar un aviso de reposición."
16,¿Puedo modificar mi pedido después de confirmarlo?,"Puedes modificar o cancelar tu pedido dentro de la primera hora tras la compra, contactando con atención al cliente lo antes posible."
17,¿Ofrecéis descuentos para compras al por mayor?,"Para pedidos superiores a 500€ o compras recurrentes, contacta con nuestro equipo comercial para condiciones especiales."
18,¿Es seguro comprar en esta web?,"Sí, todas las transacciones están cifradas mediante protocolo SSL y no almacenamos los datos completos de tu tarjeta."
19,¿Qué es esta tienda?,"Somos una farmacia online que vende medicamentos sin receta y productos de salud, higiene y belleza (parafarmacia), directamente desde una farmacia física autorizada."
20,¿Qué tipo de productos vendéis?,"Vendemos medicamentos sin receta médica (analgésicos, antihistamínicos, jarabes, antiácidos...) y productos de parafarmacia: higiene, dermocosmética, vitaminas y suplementos, cuidado del bebé y ortopedia."
21,¿Vendéis medicamentos con receta?,"No. La normativa española (Real Decreto 870/2013) prohíbe la venta online de medicamentos sujetos a prescripción médica, como antibióticos, opioides, ansiolíticos o tratamientos crónicos regulados. Solo vendemos medicamentos sin receta (analgésicos, antihistamínicos, jarabes, antiácidos...), desde una farmacia registrada en DISTAFARMA (AEMPS)."
22,¿Es legal comprar medicamentos en esta web?,"Sí. Somos una farmacia registrada en DISTAFARMA, el registro oficial de la Agencia Española de Medicamentos y Productos Sanitarios (AEMPS), y mostramos el logotipo común europeo que verifica nuestra autorización."
23,¿A quién va dirigida esta farmacia online?,"A cualquier persona que busque productos de salud, higiene y belleza con la comodidad de comprar desde casa: familias, personas mayores, deportistas y cualquiera que quiera reponer su botiquín o su rutina de cuidado personal sin desplazarse a una farmacia física."
24,¿Qué destaca de vuestra farmacia online?,"Catálogo amplio de parafarmacia y medicamentos sin receta, envío rápido, farmacéutico responsable detrás de cada pedido, y cumplimiento estricto de la normativa española de venta online de medicamentos."
