sku,nombre,descripcion,categoria_nivel1,categoria_nivel2,categoria_nivel3,categoria_nivel4,precio,stock,descuento,marca,producto_padre_id,tipo_variante,valor_variante
FAR-000112,Norvital Vitamina C 1000mg 20 comprimidos efervescentes,Refuerza las defensas y contribuye al sistema inmunitario.,Farmacia,Vitaminas y suplementos,Vitamina C,Vitamina C efervescente,15.05,No,0,Norvital,PADRE-00318,presentacion,1000mg 20 comprimidos efervescentes
FAR-000868,Vitalnova Colutorio sin alcohol encías sensibles 250ml,Refresca el aliento y complementa el cepillado diario.,Farmacia,Higiene bucal,Enjuague bucal,Colutorio,2.86,Yes,0,Vitalnova,PADRE-00968,presentacion,encías sensibles 250ml
FAR-001628,Herbolar Metamizol 600mg 20 comprimidos,Alivia el dolor leve a moderado y reduce la fiebre.,Farmacia,Medicamentos sin receta,Analgésicos,Analgésico oral,11.87,Yes,25,Herbolar,PADRE-00065,presentacion,600mg 20 comprimidos
FAR-002121,Salutia Termómetro digital flexible 1 unidad,Mide la temperatura corporal de forma rápida y precisa.,Farmacia,Primeros auxilios,Termómetros,Termómetro digital,5.05,Yes,0,Salutia,PADRE-00846,presentacion,flexible 1 unidad
FAR-004326,Vitaxel Pasta blanqueante 125ml,Limpieza diaria y protección frente a la caries.,Farmacia,Higiene bucal,Pasta dental,Pasta dentífrica,3.31,Yes,50,Vitaxel,PADRE-00886,presentacion,125ml
FAR-004371,PuntoFarma Vitamina C forte 500mg 30 comprimidos,Refuerza las defensas y contribuye al sistema inmunitario.,Farmacia,Vitaminas y suplementos,Vitamina C,Vitamina C efervescente,7.65,Yes,0,PuntoFarma,PADRE-00362,presentacion,500mg 30 comprimidos
FAR-002852,Farmalia Magnesio marino 300mg 30 comprimidos,Contribuye al funcionamiento normal muscular y nervioso.,Farmacia,Vitaminas y suplementos,Magnesio,Magnesio en comprimidos,5.79,Yes,25,Farmalia,PADRE-00475,presentacion,300mg 30 comprimidos
FAR-001755,Salutia Colutorio clásico encías sensibles 250ml,Refresca el aliento y complementa el cepillado diario.,Farmacia,Higiene bucal,Enjuague bucal,Colutorio,4.74,Yes,0,Salutia,PADRE-00952,presentacion,encías sensibles 250ml
FAR-002495,Nortfarma Termómetro infantil flexible 1 unidad,Mide la temperatura corporal de forma rápida y precisa.,Farmacia,Primeros auxilios,Termómetros,Termómetro digital,8.00,Yes,0,Nortfarma,PADRE-00884,presentacion,flexible 1 unidad
FAR-003446,Cronos Pharma Espuma limpiadora espuma limpiadora 150ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,23.11,Yes,10,Cronos Pharma,PADRE-01137,presentacion,espuma limpiadora 150ml
FAR-002679,Botica Real Multivitamínico senior 60 cápsulas,Complemento alimenticio con vitaminas y minerales esenciales.,Farmacia,Vitaminas y suplementos,Multivitamínicos,Complejo multivitamínico,7.46,Yes,0,Botica Real,PADRE-00398,presentacion,60 cápsulas
FAR-000584,Vitaxel Loción antiimperfecciones crema noche 50ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,8.87,No,0,Vitaxel,PADRE-01144,presentacion,crema noche 50ml
FAR-000946,Norvital Termómetro infantil 1 unidad,Mide la temperatura corporal de forma rápida y precisa.,Farmacia,Primeros auxilios,Termómetros,Termómetro digital,12.50,Yes,0,Norvital,PADRE-00876,presentacion,1 unidad
FAR-002171,Botica Real Magnesio bisglicinato 500mg 60 comprimidos,Contribuye al funcionamiento normal muscular y nervioso.,Farmacia,Vitaminas y suplementos,Magnesio,Magnesio en comprimidos,15.30,Yes,0,Botica Real,PADRE-00492,presentacion,500mg 60 comprimidos
