sku,nombre,descripcion,categoria_nivel1,categoria_nivel2,categoria_nivel3,categoria_nivel4,precio,stock,descuento,marca
ALI-000514,Helado de vainilla artesano,"Helado cremoso elaborado con vainilla natural, textura suave.",Alimentación,Congelados,Helados,Helado de vainilla,12.15,Yes,15,Cesta Rústica
ALI-000645,Pan integral bajo en sal,"Pan de miga suave elaborado con harina integral, fuente de fibra.",Alimentación,Panadería,Pan de molde,Pan integral,22.05,Yes,0,La Espiga Dorada
ELE-000037,Aire acondicionado Split 1x1 inverter,Equipo de climatización eficiente con control de temperatura preciso.,Electrodomésticos,Climatización,Aire acondicionado,Split 1x1,987.91,Yes,0,CocinaSmart
ROP-000054,Abrigo de invierno infantil acolchado,Abrigo cálido y resistente pensado para los meses más fríos.,Ropa,Niños,Abrigos,Abrigo de invierno,184.44,Yes,0,NordVía
ROP-000519,Pantalón vaquero recto,Pantalón vaquero de algodón resistente con corte cómodo.,Ropa,Hombre,Pantalones,Pantalón vaquero,20.81,Yes,0,UrbanCotto
ROP-000525,Blusa manga larga con lazo,"Blusa ligera de tacto suave, versátil para looks casuales o de oficina.",Ropa,Mujer,Camisas,Blusa manga larga,151.75,Yes,0,Prenda Libre
JOY-000106,Pendientes de aro pequeños,"Pendientes ligeros de plata con acabado brillante, fáciles de combinar.",Joyería,Pendientes,Pendientes de plata,Pendientes de aro,1609.25,Yes,0,Joyas del Valle
ALI-000107,Helado de vainilla artesano,"Helado cremoso elaborado con vainilla natural, textura suave.",Alimentación,Congelados,Helados,Helado de vainilla,1.35,No,0,Grano de Oro
ROP-000558,Bota de invierno impermeable,"Bota resistente al agua con suela antideslizante, pensada para el frío.",Ropa,Calzado,Botas,Bota de invierno,188.90,Yes,0,Vestir Norte
ELE-000148,Horno eléctrico multifunción,Horno con distribución uniforme del calor y múltiples funciones de cocinado.,Electrodomésticos,Cocina,Hornos,Horno eléctrico,137.62,Yes,15,Impulso Hogar
ROP-000220,Sudadera con capucha oversize,"Sudadera cómoda con capucha y bolsillo canguro, ideal para el día a día.",Ropa,Mujer,Sudaderas,Sudadera con capucha,109.50,Yes,30,Estilo Urbano
ALI-000497,Zumo de naranja exprimido,"Zumo elaborado a partir de naranjas seleccionadas, sin azúcares añadidos.",Alimentación,Bebidas,Zumos,Zumo de naranja,11.60,Yes,0,Punto Sabor
ALI-000055,Lasaña congelada de verduras,"Plato preparado listo en minutos, ideal para el día a día.",Alimentación,Congelados,Platos preparados,Lasaña congelada,13.53,Yes,0,Cesta Rústica
ALI-000560,Helado de vainilla con trozos de chocolate,"Helado cremoso elaborado con vainilla natural, textura suave.",Alimentación,Congelados,Helados,Helado de vainilla,27.37,No,0,Grano de Oro
ROP-000187,Sujetador sin aros de algodón,"Sujetador sin aros, cómodo y flexible, ideal para el uso diario.",Ropa,Mujer,Lencería,Sujetador sin aros,37.46,Yes,60,TelaViva
ROP-000486,Sudadera sin capucha oversize,"Sudadera básica sin capucha, cómoda y versátil para combinar con cualquier look.",Ropa,Mujer,Sudaderas,Sudadera sin capucha,140.57,Yes,0,TelaViva
ELE-000383,Secador iónico ligero,Secador con tecnología iónica que reduce el encrespamiento del cabello.,Electrodomésticos,Cuidado personal,Secadores de pelo,Secador iónico,276.49,Yes,70,TecnoCasa
ROP-000393,Sujetador sin aros con encaje,"Sujetador sin aros, cómodo y flexible, ideal para el uso diario.",Ropa,Mujer,Lencería,Sujetador sin aros,101.35,Yes,0,Costura 21
ALI-000053,Lasaña congelada familiar,"Plato preparado listo en minutos, ideal para el día a día.",Alimentación,Congelados,Platos preparados,Lasaña congelada,7.91,No,0,Nutrivida
ALI-000003,Helado de vainilla tarrina 1L,"Helado cremoso elaborado con vainilla natural, textura suave.",Alimentación,Congelados,Helados,Helado de vainilla,6.37,Yes,0,La Tahona Azul
ROP-000193,Camiseta infantil estampada algodón orgánico,Camiseta infantil de algodón suave con estampado divertido.,Ropa,Niños,Camisetas,Camiseta estampada,159.26,Yes,40,Hilo & Forma
ALI-000695,Lasaña congelada de verduras,"Plato preparado listo en minutos, ideal para el día a día.",Alimentación,Congelados,Platos preparados,Lasaña congelada,6.29,Yes,0,La Tahona Azul
ROP-000465,Gorro de punto unisex,Gorro tejido que abriga sin renunciar al estilo.,Ropa,Accesorios,Gorros,Gorro de punto,51.50,Yes,0,Vestir Norte
ROP-000335,Bota de invierno antideslizante,"Bota resistente al agua con suela antideslizante, pensada para el frío.",Ropa,Calzado,Botas,Bota de invierno,68.56,Yes,30,SolTejido
ALI-000119,Yogur natural pack 4 unidades,Yogur cremoso elaborado con leche fresca y fermentos activos.,Alimentación,Lácteos,Yogures,Yogur natural,28.98,Yes,10,La Espiga Dorada
ROP-000144,Camiseta básica algodón manga corta azul marino,"Camiseta de algodón 100% suave y transpirable, ideal para el día a día.",Ropa,Hombre,Camisetas,Camiseta manga corta,13.03,Yes,0,Estilo Urbano
ELE-000301,Depiladora eléctrica resistente al agua,"Depiladora eficaz de uso doméstico, ligera y fácil de manejar.",Electrodomésticos,Cuidado personal,Depiladoras,Depiladora eléctrica,934.79,Yes,70,HogarTech
ROP-000564,Vestido largo fiesta,"Vestido de corte fluido, tejido ligero y caída favorecedora.",Ropa,Mujer,Vestidos,Vestido largo,157.52,No,5,SolTejido
ALI-000033,Croissant integral,"Bollería horneada con receta tradicional, textura hojaldrada.",Alimentación,Panadería,Bollería,Croissant,12.63,No,0,Sabores del Sur
ELE-000235,Aspiradora sin cable con batería de larga duración,"Aspiradora inalámbrica de fácil manejo, ideal para limpiezas rápidas.",Electrodomésticos,Limpieza,Aspiradoras,Aspiradora sin cable,38.47,Yes,0,NordLine
ROP-000334,Abrigo de invierno infantil acolchado,Abrigo cálido y resistente pensado para los meses más fríos.,Ropa,Niños,Abrigos,Abrigo de invierno,105.41,Yes,0,TelaViva
ALI-000642,Croissant de mantequilla,"Bollería horneada con receta tradicional, textura hojaldrada.",Alimentación,Panadería,Bollería,Croissant,25.21,Yes,50,Punto Sabor
ELE-000097,Aspiradora sin cable ligera,"Aspiradora inalámbrica de fácil manejo, ideal para limpiezas rápidas.",Electrodomésticos,Limpieza,Aspiradoras,Aspiradora sin cable,1407.07,Yes,0,CasaFácil
ELE-000315,Ventilador de torre oscilante,Ventilador de diseño compacto con distintas velocidades de ventilación.,Electrodomésticos,Climatización,Ventiladores,Ventilador de torre,1122.89,Yes,0,Domus Pro
ROP-000186,Sujetador con aros negro,Sujetador con aros que proporciona sujeción y buen levantamiento.,Ropa,Mujer,Lencería,Sujetador con aros,61.78,Yes,0,Alta Fibra
JOY-000055,Pendientes de aro minimalistas,"Pendientes ligeros de plata con acabado brillante, fáciles de combinar.",Joyería,Pendientes,Pendientes de plata,Pendientes de aro,1516.93,Yes,40,Aurea Diseño
ALI-000659,Manzanas Royal Gala,"Fruta fresca de temporada, seleccionada por tamaño y calidad.",Alimentación,Frutas y verduras,Frutas frescas,Manzanas,16.63,Yes,20,Verde Cosecha
ALI-000376,Zumo de naranja sin pulpa,"Zumo elaborado a partir de naranjas seleccionadas, sin azúcares añadidos.",Alimentación,Bebidas,Zumos,Zumo de naranja,9.73,Yes,15,Grano de Oro
ALI-000632,Manzanas Golden,"Fruta fresca de temporada, seleccionada por tamaño y calidad.",Alimentación,Frutas y verduras,Frutas frescas,Manzanas,13.60,Yes,0,Nutrivida
ALI-000070,Refresco de cola sabor lima,"Bebida refrescante carbonatada, ideal para acompañar comidas o disfrutar fría.",Alimentación,Bebidas,Refrescos,Refresco de cola,9.62,Yes,0,La Tahona Azul
JOY-000030,Pendientes largos geométricos,"Pendientes de diseño llamativo, perfectos para ocasiones especiales.",Joyería,Pendientes,Pendientes colgantes,Pendientes largos,74.23,Yes,0,Orfebre Real
ALI-000509,Croissant mini pack,"Bollería horneada con receta tradicional, textura hojaldrada.",Alimentación,Panadería,Bollería,Croissant,22.57,Yes,0,La Tahona Azul
ALI-000420,Helado de vainilla tarrina 1L,"Helado cremoso elaborado con vainilla natural, textura suave.",Alimentación,Congelados,Helados,Helado de vainilla,29.52,Yes,0,Verde Cosecha
JOY-000155,Pulsera trenzada doble vuelta,"Pulsera artesanal trenzada a mano, resistente y de estilo casual.",Joyería,Pulseras,Pulseras de cuero,Pulsera trenzada,29.54,Yes,0,Reflejo Fino
ROP-000224,Vestido largo con cinturón,"Vestido de corte fluido, tejido ligero y caída favorecedora.",Ropa,Mujer,Vestidos,Vestido largo,77.46,Yes,0,Alta Fibra
ALI-000427,Queso curado de oveja,"Queso elaborado con leche seleccionada, curación tradicional y sabor intenso.",Alimentación,Lácteos,Quesos,Queso curado,25.55,Yes,15,Huerta Real
ELE-000123,Cafetera de cápsulas compacta,Cafetera práctica que prepara café de calidad en segundos.,Electrodomésticos,Pequeño electrodoméstico,Cafeteras,Cafetera de cápsulas,1295.77,Yes,0,Confort Total
ALI-000029,Tomates rama,"Verdura fresca de cultivo controlado, ideal para ensaladas y cocinar.",Alimentación,Frutas y verduras,Verduras frescas,Tomates,7.00,Yes,0,Verde Cosecha
ROP-000037,Sujetador con aros blanco,Sujetador con aros que proporciona sujeción y buen levantamiento.,Ropa,Mujer,Lencería,Sujetador con aros,101.40,Yes,60,Prenda Libre
ALI-000210,Helado de vainilla artesano,"Helado cremoso elaborado con vainilla natural, textura suave.",Alimentación,Congelados,Helados,Helado de vainilla,8.56,Yes,0,Sabores del Sur
ALI-000459,Croissant relleno de chocolate,"Bollería horneada con receta tradicional, textura hojaldrada.",Alimentación,Panadería,Bollería,Croissant,27.33,No,0,Cesta Rústica
ROP-000029,Sudadera con capucha de algodón orgánico,"Sudadera cómoda con capucha y bolsillo canguro, ideal para el día a día.",Ropa,Mujer,Sudaderas,Sudadera con capucha,85.58,Yes,0,Alta Fibra
JOY-000084,Pendientes de aro de plata 925,"Pendientes ligeros de plata con acabado brillante, fáciles de combinar.",Joyería,Pendientes,Pendientes de plata,Pendientes de aro,244.75,Yes,0,Joyas del Valle
ROP-000435,Sudadera con capucha gris jaspeada,"Sudadera cómoda con capucha y bolsillo canguro, ideal para el día a día.",Ropa,Mujer,Sudaderas,Sudadera con capucha,79.61,Yes,0,TrazoBlue
ROP-000024,Vestido largo con cinturón,"Vestido de corte fluido, tejido ligero y caída favorecedora.",Ropa,Mujer,Vestidos,Vestido largo,54.63,Yes,10,TrazoBlue
ELE-000185,Depiladora eléctrica recargable,"Depiladora eficaz de uso doméstico, ligera y fácil de manejar.",Electrodomésticos,Cuidado personal,Depiladoras,Depiladora eléctrica,888.11,No,0,HogarTech
ELE-000229,Cafetera de cápsulas compacta,Cafetera práctica que prepara café de calidad en segundos.,Electrodomésticos,Pequeño electrodoméstico,Cafeteras,Cafetera de cápsulas,555.33,Yes,30,Vitalux
ROP-000082,Zapatillas deportivas unisex,"Zapatillas ligeras con buena amortiguación, pensadas para uso diario o deporte.",Ropa,Calzado,Zapatillas,Zapatillas deportivas,127.16,Yes,5,TelaViva
ALI-000312,Tomates de huerta,"Verdura fresca de cultivo controlado, ideal para ensaladas y cocinar.",Alimentación,Frutas y verduras,Verduras frescas,Tomates,21.41,Yes,30,Nutrivida
ALI-000540,Yogur natural desnatado,Yogur cremoso elaborado con leche fresca y fermentos activos.,Alimentación,Lácteos,Yogures,Yogur natural,16.61,Yes,0,Grano de Oro
ELE-000104,Depiladora eléctrica compacta,"Depiladora eficaz de uso doméstico, ligera y fácil de manejar.",Electrodomésticos,Cuidado personal,Depiladoras,Depiladora eléctrica,1246.46,Yes,40,Impulso Hogar
ROP-000004,Bota de invierno alta,"Bota resistente al agua con suela antideslizante, pensada para el frío.",Ropa,Calzado,Botas,Bota de invierno,12.78,Yes,0,UrbanCotto
